RoWNo,Invoice,Product,Orders,SalesValue
64,100055,Z2460009TL,1,25
65,100056,XYZ1A008,1,70
66,100056,XYZ3A008,1,70
67,100056,XYZ4A008,1,70
68,100056,05241A001,1,69.99
69,100057,XYZ1A008,3,20.97
70,100058,05241A001,10,674.9
71,100059,05471A001,3,143.97
72,100059,05481A001,10,529.9
73,100059,05511A001,9,476.91
74,100060,05503A001,1,52.99
75,100061,XYZ1A008,1,70
76,100061,064720-017,1,15.49
77,100062,05264A001,1,69.99
78,100063,XYZ3A008,1,70
79,100064,XYZ1A008,7,48.93
80,100065,XYZ3A008,1,70
81,100066,05081A001,1,39.99
82,100066,Y6261A001,1,39.99
83,100067,XYZ1A008,1,70
84,100067,05321A001,1,69.99
85,100068,XYZ1A008,2,13.98
86,100069,XYZ1A008,3,20.97
87,100069,XYZ2A008,6,41.94
88,100070,12777008,1,70
89,100071,XYZ1A008,2,13.98
90,100072,05501A004,1,19.99
91,100073,05264A001,1,69.99
92,100074,YZAA001,1,52.99
93,100075,YZAA001,2,105.98
94,100075,05511A001,1,52.99
95,100076,Y6251A001,4,151.96
96,100076,Y6272A004,1,17.99
97,100077,05471A001,1,47.99
98,100077,YZAA001,1,52.99
99,100078,XYZ1A008,1,70
100,100079,XYZ2A008,2,13.98
101,100080,XYZ1A008,2,13.98
102,100080,XYZ2A008,1,70
103,100081,XYZ2A008,1,70
104,100081,XYZ3A008,1,70
105,100082,XYZ3A008,1,70
106,100082,XYZ4A008,1,70
107,100083,50809001,4,159.96
108,100084,YZAA001,1,52.99
109,100084,05501A001,1,52.99
110,100085,XYZ1A008,2,13.98
111,100086,YZAA001,3,158.97
112,100087,05511A004,1,19.99
113,100088,XYZ1A008,2,13.98
114,100089,05221A001,3,209.97
115,100090,Z2440565TL,1,35
116,100090,Z2451773,1,32
117,100090,Z5146100,1,15
118,100090,Z5900030,2,30
119,100091,XYZ2A008,1,70
120,100091,Y6261A001,1,39.99
121,100092,05482A001,1,52.99
122,100093,YZAA004,1,19.99
123,100093,05492A001,1,52.99
124,100094,Y6262A001,3,119.97
125,100094,Y6271A001,1,39.99
126,100095,XYZ1A008,1,70
127,100096,XYZ1A008,2,13.98
128,100097,05482A004,1,19.99
129,100098,05471A001,1,47.99
130,100099,XYZ1A008,1,70
131,100100,XYZ1A008,4,27.96
132,100101,XYZ1A008,1,70
133,100102,XYZ3A008,3,20.97
134,100103,XYZ3A008,1,70
135,100103,XYZ4A008,1,70
136,100104,XYZ2A008,1,70
137,100104,XYZ3A008,1,70
138,100105,XYZ1A008,1,70
139,100105,XYZ2A008,1,70
140,100106,XYZ1A008,1,70
141,100107,XYZ1A008,2,13.98
142,100108,XYZ1A008,2,13.98
143,100109,YZAA001,1,52.99
144,100110,XYZ1A008,5,34.95
145,100110,XYZ3A008,3,20.97
146,100110,XYZ4A008,1,70
147,100111,XYZ1A008,1,70
148,100112,XYZ1A008,3,20.97
149,100113,XYZ1A008,2,13.98
150,100113,XYZ2A008,2,13.98
151,100113,XYZ3A008,4,27.96
152,100114,XYZ4A008,1,70
153,100115,Z1600292SB,1,25
154,100115,Z2439997,1,15
155,100115,Z2451773,1,32
156,100115,Z5900030,1,15
157,100116,XYZ1A008,2,13.98
158,100117,XYZ1A008,6,41.94
159,100117,XYZ2A008,1,70
160,100118,XYZ1A008,2,13.98
161,100119,XYZ2A008,1,70
162,100120,XYZ1A008,1,70
163,100120,XYZ3A008,1,70
164,100121,05321A001,1,69.99
165,100122,XYZ1A008,4,27.96
166,100123,XYZ1A008,3,20.97
167,100123,XYZ2A008,1,70
168,100124,XYZ1A008,9,62.91
169,100124,XYZ2A008,1,70
170,100124,XYZ4A008,1,70
171,100125,XYZ1A008,5,34.95
172,100125,05241A008,1,9.99
173,100125,05243A008,1,9.99
174,100126,Z2439997,1,15
175,10XYZ,XYZ1A008,1,70
176,100128,XYZ4A008,1,70
177,100129,XYZ1A008,1,70
178,100129,12777008,3,20.97
179,100130,XYZ1A008,1,70
180,100131,XYZ2A008,1,70
181,100132,XYZ1A008,1,70
182,100132,XYZ2A008,1,70
183,100132,05241A008,1,9.99
184,100133,XYZ3A008,1,70
185,100134,05483A001,1,52.99
186,100135,Z2439997,1,15
187,100136,Z2451773,1,32
188,100136,Z2460009TL,1,25
189,100136,Z5146100,1,15
190,100137,XYZ1A008,1,70
191,100138,Z2460009TL,1,25
192,100139,Y6261A004,1,17.99
193,100140,XYZ2A008,3,20.97
194,100141,05501A001,1,52.99
195,100143,XYZ1A008,1,70
196,100144,XYZ1A008,4,27.96
197,100144,XYZ2A008,2,13.98
198,100144,XYZ3A008,3,20.97
199,100144,XYZ4A008,2,13.98
200,100145,XYZ2A008,1,70
201,100146,XYZ1A008,3,20.97
202,100147,Z2440565TL,1,35
203,100147,Z2460009TL,1,25
204,100148,XYZ2A008,2,13.98
205,100148,XYZ3A008,1,70
206,100148,XYZ4A008,1,70
207,100149,XYZ1A008,1,70
208,100150,XYZ1A008,1,70
209,100151,XYZ1A008,2,13.98
210,100152,XYZ1A008,1,70
211,100153,XYZ1A008,4,27.96
212,100154,05261A001,1,69.99
213,100154,05511A004,1,19.99
214,100155,Z2460009TL,1,25
215,100156,XYZ3A008,3,20.97
216,100156,XYZ4A008,1,70
217,100157,05243A008,1,9.99
218,100158,Z2439997,1,15
219,100159,XYZ2A008,2,13.98
220,100159,XYZ3A008,1,70
221,100160,XYZ1A008,3,20.97
222,100161,XYZ1A008,1,70
223,100161,XYZ2A008,1,70
224,100162,XYZ1A008,1,70
225,100163,XYZ4A008,1,70
226,100164,XYZ1A008,1,70
227,100165,XYZ1A008,2,13.98
228,100165,XYZ2A008,1,70
229,100166,XYZ1A008,1,70
230,100167,Z2440565TL,2,70
231,100167,Z2451773,2,64
232,100167,Z5146100,1,15
233,100167,Z5900030,1,15
234,100168,XYZ1A008,1,70
235,100169,Z5146100,1,15
236,100170,XYZ1A008,2,13.98
237,100170,XYZ2A008,1,70
238,100171,XYZ3A008,2,13.98
239,100171,XYZ4A008,1,70
240,100172,XYZ1A008,4,27.96
241,100172,XYZ2A008,1,70
242,100173,XYZ1A008,2,13.98
243,100174,XYZ1A008,1,70
244,100175,XYZ1A008,3,20.97
245,100176,XYZ1A008,2,13.98
246,100177,XYZ1A008,3,20.97
247,100177,XYZ3A008,4,27.96
248,100178,XYZ1A008,5,34.95
249,100179,XYZ1A008,1,70
250,100179,XYZ3A008,1,70
251,100179,XYZ4A008,2,13.98
252,100179,06403A-008,1,8.99
253,100180,Z2440565TL,2,70
254,100181,XYZ1A008,3,20.97
255,100182,XYZ1A008,2,13.98
256,100182,XYZ2A008,2,13.98
257,100184,XYZ1A008,1,70
258,100184,XYZ2A008,2,13.98
259,100185,XYZ1A008,4,27.96
260,100186,XYZ1A008,2,13.98
261,100187,XYZ1A008,4,27.96
262,100188,XYZ1A008,2,13.98
263,100188,XYZ2A008,3,20.97
264,100188,XYZ3A008,1,70
265,100189,XYZ2A008,1,70
266,100190,XYZ2A008,1,70
267,100191,05471A004,2,39.98
268,100192,XYZ1A008,5,34.95
269,100193,Z2460009TL,2,50
270,100194,XYZ1A008,1,70
271,100194,XYZ2A008,1,70
272,100194,XYZ3A008,2,13.98
273,100195,XYZ1A008,5,34.95
274,100196,XYZ4A008,1,70
275,100197,05471A004,1,19.99
276,100198,XYZ1A008,3,20.97
277,100199,XYZ1A008,4,27.96
278,100200,05243A008,2,19.98
279,100201,Z1600292SB,1,25
280,100202,XYZ3A008,1,70
281,100202,XYZ4A008,1,70
282,100203,XYZ1A008,3,20.97
283,100203,XYZ2A008,2,13.98
284,100204,XYZ1A008,2,13.98
285,100205,XYZ3A008,2,13.98
286,100205,XYZ4A008,7,48.93
287,100206,XYZ1A008,8,55.92
288,100207,XYZ1A008,2,13.98
289,100208,XYZ1A008,1,70
290,100208,Z1600292SB,1,25
291,100209,XYZ1A008,3,20.97
292,100209,XYZ2A008,1,70
293,100209,XYZ4A008,1,70
294,100210,Z2439997,1,15
295,100211,Y6261A001,1,39.99
296,100211,Y6263A001,2,79.98
297,100212,XYZ1A008,1,70
298,100212,072590-018,2,10.98
299,100213,XYZ1A008,5,34.95
300,100214,XYZ1A008,1,70
301,100214,XYZ2A008,1,70
302,100215,XYZ1A008,5,34.95
303,100216,Z2440565TL,1,35
304,100216,Z2460009TL,2,50
305,100217,05242A001,1,69.99
306,100218,Z1600292SB,1,25
307,100218,Z2460009TL,1,25
308,100219,05481A001,1,52.99
309,100220,XYZ1A008,1,70
310,100221,XYZ1A008,2,13.98
311,100222,Z2451773,2,64
312,100223,XYZ1A008,4,27.96
313,100224,XYZ1A008,5,34.95
314,100225,XYZ1A008,1,70
315,100226,XYZ1A008,1,70
316,100227,XYZ1A008,1,70
317,100228,Z2440565TL,1,35
318,100229,XYZ1A008,1,70
319,100230,Z2440565TL,1,35
320,100230,Z2460009TL,1,25
321,100230,Z4999936,1,9.99
322,100230,Z5146100,1,15
323,100230,Z5900030,1,15
324,100231,XYZ1A008,3,20.97
325,100231,XYZ2A008,2,13.98
326,100231,XYZ3A008,1,70
327,100232,XYZ1A008,1,70
328,100233,Z1600292SB,1,25
329,100233,Z2460009TL,1,25
330,100234,XYZ1A008,3,20.97
331,100235,XYZ1A008,4,27.96
332,100236,XYZ1A008,4,27.96
333,100237,Z2460009TL,1,25
334,100238,XYZ1A008,4,27.96
335,100238,XYZ3A008,1,70
336,100239,Z1600292SB,1,25
337,100239,Z2451773,1,32
338,100239,Z2460009TL,1,25
339,100239,Z5146100,1,15
340,100240,XYZ1A008,4,27.96
341,100241,XYZ1A008,1,70
342,100242,05221A001,2,139.98
343,100242,05221A004,1,25.99
344,100242,05223A004,1,25.99
345,100242,05224A001,1,69.99
346,100243,XYZ4A008,1,70
347,100244,Y6254A001,1,37.99
348,100245,Y6261A004,1,17.99
349,100245,Y6262A004,1,17.99
350,100246,XYZ1A008,10,69.9
351,100246,XYZ2A008,1,70
352,100246,05241A008,1,9.99
353,100247,XYZ2A008,1,70
354,100248,XYZ2A008,3,20.97
355,100248,XYZ3A008,1,70
356,100249,XYZ1A008,1,70
357,100250,XYZ2A008,4,27.96
358,100250,XYZ3A008,1,70
359,100251,XYZ1A008,3,20.97
360,100251,XYZ2A008,1,70
361,100252,XYZ1A008,1,70
362,100253,Z1600292SB,1,25
363,100253,Z2451773,1,32
364,100253,Z2460009TL,1,25
365,100253,Z5146100,1,15
366,100254,XYZ1A008,1,70
367,100254,XYZ2A008,2,13.98
368,100254,05241A008,1,9.99
369,100255,Z2440565TL,1,35
370,100256,YZAA001,1,52.99
371,100257,Y6262A004,1,17.99
372,100258,XYZ1A008,4,27.96
373,100258,XYZ2A008,1,70
374,100259,Z2451773,1,32
375,100259,Z5900030,1,15
376,100260,XYZ1A008,7,48.93
377,100261,Y6274A001,1,39.99
378,100262,XYZ1A008,1,70
379,100263,Z2460009TL,1,25
380,100264,Y6274A001,1,39.99
381,100265,Z2440565TL,1,35
382,100266,XYZ1A008,2,13.98
383,100266,XYZ2A008,1,70
384,100266,XYZ3A008,2,13.98
385,100267,05242A001,1,69.99
386,100268,Y6261A004,1,17.99
387,100268,Y6271A001,1,39.99
388,100269,Z1600292SB,1,25
389,100269,Z2440565TL,1,35
390,100269,Z2460009TL,2,50
391,100270,XYZ1A008,2,13.98
392,100271,XYZ4A008,4,27.96
393,100272,XYZ1A008,3,20.97
394,100273,XYZ1A008,1,70
395,100273,XYZ2A008,1,70
396,100274,XYZ1A008,1,70
397,100275,063600-008,1,7.99
398,100276,XYZ3A008,3,20.97
399,100277,XYZ1A008,7,48.93
400,100278,YZAA001,1,52.99
401,100279,XYZ1A008,1,70
402,100280,XYZ1A008,3,20.97
403,100281,XYZ1A008,6,41.94
404,100281,XYZ2A008,1,70
405,100281,XYZ3A008,2,13.98
406,100281,XYZ4A008,2,13.98
407,100282,Z2440565TL,1,35
408,100282,Z2451773,1,32
409,100282,Z2460009TL,1,25
410,100283,05081A001,5,199.95
411,100283,05471A001,7,335.93
412,100284,Z2460009TL,1,25
413,100285,05263A001,1,69.99
414,100286,XYZ1A008,1,70
415,100286,XYZ2A008,1,70
416,100287,XYZ1A008,2,13.98
417,100287,XYZ2A008,1,70
418,100287,XYZ3A008,1,70
419,100288,XYZ1A008,3,20.97
420,100288,XYZ3A008,1,70
421,100289,05512A001,2,105.98
422,100290,Y6264A001,3,119.97
423,100291,05511A001,1,52.99
424,100292,XYZ1A008,2,13.98
425,100293,XYZ1A008,6,41.94
426,100294,Z2440565TL,1,35
427,100295,XYZ1A008,1,70
428,100295,XYZ3A008,4,27.96
429,100295,Z2460009TL,1,25
430,100296,XYZ1A008,4,27.96
431,100297,Z2440565TL,1,35
432,100297,Z5146100,1,15
433,100298,XYZ2A008,1,70
434,100298,05241A008,3,29.97
435,100299,XYZ3A008,1,70
436,100299,XYZ4A008,1,70
437,100300,XYZ1A008,12,83.88
438,100301,Z1600292SB,1,25
439,100301,Z2460009TL,1,25
440,100302,XYZ1A008,4,27.96
441,100303,XYZ1A008,1,70
442,100304,XYZ1A008,1,70
443,100304,05241A008,1,9.99
444,100305,XYZ1A008,2,13.98
445,100306,Z1600292SB,1,25
446,100307,XYZ1A008,3,20.97
447,100307,XYZ2A008,2,13.98
448,100308,XYZ3A008,1,70
449,100309,Y6261A004,1,17.99
450,100310,XYZ1A008,3,20.97
451,100311,Y6271A001,6,239.94
452,100312,XYZ1A008,1,70
453,100312,XYZ2A008,1,70
454,100313,05481A001,3,158.97
455,100313,05511A001,1,52.99
456,100314,XYZ2A008,1,70
457,100314,XYZ4A008,1,70
458,100315,Y6262A001,1,39.99
459,100315,Y6264A001,1,39.99
460,100316,XYZ1A008,2,13.98
461,100317,05242A001,1,69.99
462,100318,XYZ1A008,3,20.97
463,100318,XYZ3A008,2,13.98
464,100318,05501A004,1,19.99
465,100319,05493A001,1,52.99
466,100320,XYZ1A008,3,20.97
467,100320,XYZ2A008,2,13.98
468,100321,05471A004,1,19.99
469,100322,XYZ1A008,4,27.96
470,100326,XYZ1A008,1,70
471,100328,XYZ1A008,4,27.96
472,100328,XYZ2A008,4,27.96
473,100328,XYZ4A008,4,27.96
474,100329,XYZ1A008,3,20.97
475,100330,XYZ1A008,2,13.98
476,100330,XYZ2A008,1,70
477,100331,XYZ1A008,1,70
478,100332,Y6263A001,1,39.99
479,100333,XYZ1A008,1,70
480,100334,XYZ4A008,3,20.97
481,100335,YZAA001,2,105.98
482,100336,05221A004,1,25.99
483,100337,Z1600292SB,1,25
484,100337,Z2440565TL,1,35
485,100337,Z5146100,1,15
486,100337,Z5900030,1,15
487,100338,XYZ1A008,1,70
488,100339,XYZ1A008,3,20.97
489,100340,XYZ1A008,1,70
490,100343,Y6261A001,1,39.99
491,100344,XYZ3A008,1,70
492,100345,XYZ4A008,1,70
493,100346,XYZ1A008,4,27.96
494,100346,XYZ3A008,1,70
495,100346,XYZ4A008,1,70
496,100347,XYZ1A008,1,70
497,100348,Y6251A001,2,75.98
498,100349,YZAA001,1,52.99
499,100350,XYZ3A008,2,13.98
500,100350,XYZ4A008,1,70
501,100351,XYZ1A008,2,13.98
502,100352,Z2451773,1,32
503,100353,Z2451773,2,64
504,100353,Z2460009TL,2,50
505,100353,Z5900030,2,30
506,100354,05481A001,1,52.99
507,100355,XYZ1A008,5,34.95
508,100356,XYZ1A008,2,13.98
509,100357,Z5146100,1,15
510,100357,Z5900030,1,15
511,100358,XYZ1A008,1,70
512,100359,Y6261A001,1,39.99
513,100360,Y6252A001,1,37.99
514,100361,Z2451773,1,32
515,100361,Z5146100,1,15
516,100362,XYZ1A008,1,70
517,100362,Y6271A004,1,17.99
518,100363,XYZ3A008,3,20.97
519,100363,XYZ4A008,1,70
520,100364,Y6271A001,6,239.94
521,100365,XYZ1A008,2,13.98
522,100366,XYZ1A008,7,48.93
523,100366,XYZ2A008,1,70
524,100366,XYZ3A008,1,70
525,100367,XYZ1A008,1,70
526,100368,Z2460009TL,1,25
527,100369,05241A008,4,39.96
528,100370,XYZ1A008,4,27.96
529,100371,05241A001,2,139.98
530,100372,Y6273A001,1,39.99
531,100373,Y6262A001,1,39.99
532,100374,XYZ1A008,2,13.98
533,100375,XYZ1A008,1,70
534,100376,XYZ1A008,2,13.98
535,100377,XYZ1A008,2,13.98
536,100378,XYZ2A008,1,70
537,100379,Z2440565TL,1,35
538,100380,XYZ1A008,1,70
539,100382,YZAA001,4,211.96
540,100384,XYZ4A008,1,70
541,100385,Z2460009TL,1,25
542,100386,XYZ1A008,1,70
543,100386,XYZ2A008,1,70
544,100387,Y6273A001,1,39.99
545,100388,Y6251A001,1,37.99
546,100389,05481A001,2,105.98
547,100390,XYZ1A008,3,20.97
548,100391,Z2439997,1,15
549,100392,XYZ1A008,1,70
550,100392,XYZ2A008,1,70
551,100393,XYZ1A008,1,70
552,100394,XYZ1A008,2,13.98
553,100395,Z2460009TL,1,25
554,100396,05481A001,1,52.99
555,100397,Z2460009TL,1,25
556,100398,XYZ1A008,11,76.89
557,100399,XYZ2A008,1,70
558,100400,Y6261A001,1,39.99
559,100400,Y6262A001,1,39.99
560,100401,05242A001,2,139.98
561,100402,XYZ1A008,1,70
562,100403,Z2460009TL,1,25
563,100404,Y6251A001,1,37.99
564,100405,XYZ2A008,2,13.98
565,100406,XYZ3A008,3,20.97
566,100406,XYZ4A008,3,20.97
567,100407,Z2439997,1,15
568,100407,Z2460009TL,1,25
569,100408,XYZ3A008,1,70
570,100409,Z2460009TL,1,25
571,100410,XYZ3A008,1,70
572,100411,50809001,2,79.98
573,100411,Y6261A001,3,119.97
574,100411,Y6262A001,2,79.98
575,100412,XYZ1A008,3,20.97
576,100413,XYZ1A008,1,70
577,100414,XYZ1A008,2,13.98
578,100414,XYZ2A008,1,70
579,100414,XYZ3A008,2,13.98
580,100415,Y6261A001,5,199.95
581,100416,XYZ1A008,4,27.96
582,100416,XYZ2A008,1,70
583,100417,XYZ1A008,1,70
584,100418,XYZ1A008,3,20.97
585,100419,YZAA001,2,105.98
586,100419,Y6261A001,1,39.99
587,100420,XYZ1A008,3,20.97
588,100421,Y6261A001,1,39.99
589,100422,Z2440565TL,1,35
590,100423,XYZ1A008,10,69.9
591,100424,XYZ2A008,1,70
592,100424,XYZ4A008,3,20.97
593,100425,XYZ2A008,1,70
594,100426,05244A001,3,209.97
595,100427,XYZ1A008,4,27.96
596,100428,Z2451773,1,32
597,100429,XYZ3A008,1,70
598,100429,XYZ4A008,1,70
599,100430,Y6261A001,1,39.99
600,100430,Y6264A001,1,39.99
601,100431,05501A001,2,105.98
602,100432,Z2439997,1,15
603,100433,05223A001,1,69.99
604,100434,XYZ1A008,3,20.97
605,100434,XYZ3A008,1,70
606,100435,05492A001,1,52.99
607,100436,Y6271A004,1,17.99
608,100437,XYZ1A008,1,70
609,100438,Z2460009TL,1,25
610,100439,XYZ1A008,2,13.98
611,100440,XYZ1A008,1,70
612,100441,XYZ1A008,2,13.98
613,100441,XYZ3A008,1,70
614,100442,XYZ2A008,1,70
615,100443,Z2451773,1,32
616,100443,Z2460009TL,1,25
617,100443,Z5146100,1,15
618,100443,Z5900030,1,15
619,100444,05321A001,1,69.99
620,100444,Y6251A001,3,113.97
621,100444,Y6261A001,4,159.96
622,100445,Z2439997,1,15
623,100446,XYZ1A008,1,70
624,100447,XYZ1A008,8,55.92
625,100447,XYZ3A008,1,70
626,100448,Z2460009TL,1,25
627,100449,XYZ1A008,2,13.98
628,100450,XYZ1A008,1,70
629,100451,Z2460009TL,1,25
630,100451,Z5900030,1,15
631,100452,Z2439997,1,15
632,100453,XYZ1A008,3,20.97
633,100453,XYZ2A008,1,70
634,100454,XYZ1A008,1,70
635,100455,XYZ1A008,6,41.94
636,100455,XYZ2A008,1,70
637,100455,XYZ3A008,1,70
638,100456,XYZ3A008,1,70
639,100457,XYZ1A008,4,27.96
640,100458,XYZ1A008,1,70
641,100458,XYZ2A008,5,34.95
642,100459,YZAA001,2,105.98
643,100460,05481A001,1,52.99
644,100460,YZAA001,1,52.99
645,100461,05501A001,1,52.99
646,100462,XYZ1A008,8,55.92
647,100463,XYZ1A008,1,70
648,100463,XYZ2A008,3,20.97
649,100463,XYZ3A008,2,13.98
650,100464,XYZ1A008,2,13.98
651,100468,XYZ1A008,1,70
652,100469,Z2460009TL,1,25
653,100470,Z2439997,1,15
654,100470,Z2440565TL,1,35
655,100470,Z2451773,1,32
656,100470,Z2460009TL,1,25
657,100471,XYZ1A008,4,27.96
658,100471,XYZ3A008,1,70
659,100471,XYZ4A008,1,70
660,100472,Z2451773,1,32
661,100473,XYZ1A008,1,70
662,100474,XYZ1A008,6,41.94
663,100475,05481A001,2,105.98
664,100475,05482A001,1,52.99
665,100475,05484A001,2,105.98
666,100476,XYZ1A008,1,70
667,100477,Y6251A001,1,37.99
668,100478,XYZ1A008,4,27.96
669,100478,XYZ4A008,2,13.98
670,100479,05221A001,12,839.88
671,100480,05472A001,3,143.97
672,100481,Z2460009TL,1,25
673,100481,Z5900030,1,15
674,100482,XYZ1A008,5,34.95
675,100482,XYZ2A008,2,13.98
676,100483,XYZ1A008,2,13.98
677,100484,XYZ1A008,2,13.98
678,100484,XYZ2A008,1,70
679,100484,XYZ3A008,2,13.98
680,100485,XYZ2A008,1,70
681,100485,XYZ3A008,2,13.98
682,100486,XYZ1A008,3,20.97
683,100487,XYZ1A008,2,13.98
684,100488,XYZ1A008,1,70
685,100489,Z2440565TL,1,35
686,100489,Z2460009TL,1,25
687,100490,XYZ1A008,3,20.97
688,100490,XYZ4A008,1,70
689,100491,XYZ1A008,4,27.96
690,100491,XYZ2A008,1,70
691,100492,XYZ1A008,4,27.96
692,100493,XYZ1A008,1,70
693,100493,XYZ2A008,2,13.98
694,100494,Z2439997,1,15
695,100494,Z5146100,1,15
696,100495,XYZ1A008,1,70
697,100496,XYZ1A008,1,70
698,100496,XYZ4A008,3,20.97
699,100497,XYZ1A008,2,13.98
700,100498,05243A001,1,69.99
701,100501,XYZ1A008,3,20.97
702,100501,XYZ2A008,1,70
703,100502,XYZ1A008,4,27.96
704,100503,XYZ1A008,6,41.94
705,100504,05481A001,1,52.99
706,100505,XYZ1A008,5,34.95
707,100506,Z2460009TL,1,25
708,100507,XYZ1A008,4,27.96
709,100508,XYZ1A008,6,41.94
710,100509,Z2439997,1,15
711,100509,Z2460009TL,1,25
712,100510,XYZ1A008,4,27.96
713,100511,Z2460009TL,1,25
714,100511,Z2527408,1,45
715,100511,Z5900030,1,15
716,100512,Y6251A004,3,47.97
717,100513,Z1600292SB,1,25
718,100514,XYZ1A008,1,70
719,100514,XYZ3A008,1,70
720,100515,Z2460009TL,1,25
721,100516,Z5146100,1,15
722,100517,XYZ2A008,3,20.97
723,100517,XYZ3A008,3,20.97
724,100517,XYZ4A008,2,13.98
725,100517,05244A008,1,9.99
726,100518,Y6261A001,4,159.96
727,100519,Z2440565TL,1,35
728,100519,Z2460009TL,1,25
729,100519,Z5146100,1,15
730,100520,XYZ1A008,4,27.96
731,100521,XYZ1A008,4,27.96
732,100521,XYZ2A008,1,70
733,100522,XYZ2A008,1,70
734,100522,XYZ3A008,1,70
735,100523,XYZ1A008,4,27.96
736,100523,XYZ2A008,1,70
737,100524,XYZ1A008,2,13.98
738,100524,XYZ2A008,1,70
739,100524,XYZ3A008,2,13.98
740,100524,XYZ4A008,2,13.98
741,100525,05241A001,2,139.98
742,100525,05471A001,5,239.95
743,100525,YZAA001,12,635.88
744,100526,XYZ1A008,4,27.96
745,100526,XYZ2A008,2,13.98
746,100526,XYZ4A008,1,70
747,100527,XYZ4A008,1,70
748,100528,XYZ1A008,1,70
749,100528,XYZ3A008,3,20.97
750,100529,XYZ1A008,4,27.96
751,100530,05222A001,1,69.99
752,100531,Z2451773,1,32
753,100531,Z2460009TL,1,25
754,100531,Z5900030,1,15
755,100532,Y6251A001,1,37.99
756,100533,Z2460009TL,1,25
757,100534,XYZ2A008,1,70
758,100534,XYZ3A008,1,70
759,100534,XYZ4A008,4,27.96
760,100535,XYZ2A008,1,70
761,100535,Y6271A001,2,79.98
762,100536,XYZ1A008,1,70
763,100536,XYZ2A008,2,13.98
764,100536,XYZ3A008,1,70
765,100536,XYZ4A008,1,70
766,100537,XYZ3A008,1,70
767,100537,XYZ4A008,5,34.95
768,100538,XYZ1A008,2,13.98
769,100538,XYZ2A008,6,41.94
770,100539,XYZ1A008,1,70
771,100539,XYZ3A008,1,70
772,100540,Z2440565TL,1,35
773,100540,Z2460009TL,1,25
774,100540,Z5146100,1,15
775,100541,XYZ1A008,3,20.97
776,100542,XYZ1A008,1,70
777,100543,XYZ1A008,1,70
778,100544,XYZ1A008,5,34.95
779,100544,XYZ3A008,1,70
780,100545,XYZ1A008,3,20.97
781,100546,XYZ1A008,1,70
782,100547,XYZ1A008,3,20.97
783,100547,XYZ2A008,1,70
784,100547,XYZ3A008,1,70
785,100548,XYZ3A008,1,70
786,100549,XYZ1A008,3,20.97
787,100551,XYZ3A008,2,13.98
788,100552,XYZ1A008,1,70
789,100552,XYZ2A008,1,70
790,100553,XYZ1A008,1,70
791,100554,Z2439997,1,15
792,100555,XYZ1A008,3,20.97
793,100555,XYZ3A008,1,70
794,100555,05241A008,1,9.99
795,100556,Y6262A001,1,39.99
796,100557,XYZ1A008,5,34.95
797,100558,XYZ1A008,13,90.87
798,100558,XYZ2A008,1,70
799,100558,XYZ3A008,1,70
800,100558,XYZ4A008,1,70
801,100559,XYZ1A008,3,20.97
802,100560,XYZ1A008,4,27.96
